Région,Code région,Code département,code_commune,nom_commune,zone_montagne,est_zone_vulnerable,est_zar,zone_ouest,zone_sud,zone_est,Dernière mise à jour,Dernière mise à jour par
AUVERGNE RHONE ALPES,84,26,26010,ANNEYRON,NC,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26011,AOUSTE SUR SYE,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26012,ARNAYON,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26013,ARPAVON,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26014,ARTHEMONAY,NC,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26015,AUBENASSON,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26016,AUBRES,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26017,AUCELON,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26018,AULAN,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26019,AUREL,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26020,REPARA AURIPLES,NC,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26021,AUTICHAMP,NC,C,PC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26022,BALLONS,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26023,BARBIERES,C,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
